#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
57.0%,5700000,11400.000001404986,-1647894.57890811,255121.06323576267,-1392773.5156723473,300.88263479475796,1045.2132057683134,0.9752688559959105,213,58:12
57.5%,5750000,11500.000001425358,-1649111.7255103309,254350.5919048954,-1394761.1336054355,299.97396249179354,1045.2132057683134,0.9752688559959105,213,57:32
58.0%,5800000,11600.000001445731,-1648575.3993322384,255854.80351556375,-1392720.5958166746,301.7479875251108,1045.2132057683134,0.9752688559959105,213,56:51
58.5%,5850000,11700.000001466104,-1646542.757092365,254723.2136968247,-1391819.5433955404,300.41342219424087,1045.2132057683134,0.9752688559959105,213,56:11
59.0%,5900000,11800.000001486476,-1649027.6790334592,254939.86653847893,-1394087.8124949802,300.6689364861849,1045.2132057683134,0.9752688559959105,213,55:30
59.5%,5950000,11900.000001506849,-1646054.5776420888,254163.57496568558,-1391891.0026764031,299.75339995294627,1045.2132057683134,0.9752688559959105,213,54:49
60.0%,6000000,12000.000001527222,-1645246.9780551037,253896.03064490913,-1391350.9474101947,299.43786567624403,1045.2132057683134,0.9752688559959105,213,54:09
60.5%,6050000,12100.000001547594,-1646773.3267580876,254984.78187890697,-1391788.5448791806,300.7219083803879,1045.2132057683134,0.9752688559959105,213,53:28
61.0%,6100000,12200.000001567967,-1646435.106418158,253133.78401778778,-1393301.3224003701,298.5388933584635,1045.2132057683134,0.9752688559959105,213,52:48
61.5%,6150000,12300.00000158834,-1647109.3890143,254259.38906780083,-1392849.9999464992,299.86640042076056,1045.2132057683134,0.9752688559959105,213,52:07
62.0%,6200000,12400.000001608712,-1647527.3751520356,254068.8557279678,-1393458.5194240678,299.64169073752976,1045.2132057683134,0.9752688559959105,213,51:27
62.5%,6250000,12500.000001629085,-1645429.6774680745,253836.90238538996,-1391592.7750826846,299.3681314634381,1045.2132057683134,0.9752688559959105,213,50:46
63.0%,6300000,12600.000001649458,-1646467.8312365413,254338.92000052446,-1392128.9112360168,299.96019697476544,1045.2132057683134,0.9752688559959105,213,50:05
63.5%,6350000,12700.00000166983,-1646674.2211952675,254256.24816201185,-1392417.9730332557,299.8626961244651,1045.2132057683134,0.9752688559959105,213,49:25
64.0%,6400000,12800.000001690203,-1647386.509601283,254526.0251505634,-1392860.4844507196,300.18086354699335,1045.2132057683134,0.9752688559959105,213,48:44
64.5%,6450000,12900.000001710576,-1646366.6473193252,254817.47093679794,-1391549.1763825272,300.5245865424602,1045.2132057683134,0.9752688559959105,213,48:04
65.0%,6500000,13000.000001730948,-1646181.1783607062,254212.77083586282,-1391968.4075248435,299.811420184017,1045.2132057683134,0.9752688559959105,213,47:23
65.5%,6550000,13100.000001751321,-1646035.1807805058,255540.31806175524,-1390494.8627187505,301.3770921911607,1045.2132057683134,0.9752688559959105,213,46:43
66.0%,6600000,13200.000001771694,-1649025.781828925,256992.56027460698,-1392033.221554318,303.0898259726094,1045.2132057683134,0.9752688559959105,213,46:02
66.5%,6650000,13300.000001792067,-1645864.9030525135,254059.9131881839,-1391804.9898643296,299.63114415663284,1045.2132057683134,0.9752688559959105,213,45:21
67.0%,6700000,13400.00000181244,-1649162.8992970968,254617.10250701848,-1394545.7967900783,300.28827762967546,1045.2132057683134,0.9752688559959105,213,44:41
67.5%,6750000,13500.000001832812,-1649907.3708671788,254916.28182319048,-1394991.0890439884,300.6411213336966,1045.2132057683134,0.9752688559959105,213,44:00
68.0%,6800000,13600.000001853185,-1645004.1279733162,253460.54373099777,-1391543.5842423185,298.92426461008984,1045.2132057683134,0.9752688559959105,213,43:20
68.5%,6850000,13700.000001873557,-1646353.1363175614,255792.34473263516,-1390560.7915849262,301.67432538630004,1045.2132057683134,0.9752688559959105,213,42:39
69.0%,6900000,13800.00000189393,-1645318.677767965,255532.02280576085,-1389786.6549622042,301.36730899863153,1045.2132057683134,0.9752688559959105,213,41:58
69.5%,6950000,13900.000001914303,-1647747.1642635353,254148.32346295036,-1393598.840800585,299.73541275788926,1045.2132057683134,0.9752688559959105,213,41:18
70.0%,7000000,14000.000001934675,-1645597.8717418667,255414.973608809,-1390182.8981330576,301.2292644548655,1045.2132057683134,0.9752688559959105,213,40:37
70.5%,7050000,14100.000001955048,-1646695.204824577,255055.95655489448,-1391639.2482696825,300.80584979929773,1045.2132057683134,0.9752688559959105,213,39:57
71.0%,7100000,14200.00000197542,-1648210.7791328775,253809.25682044445,-1394401.522312433,299.33552705862854,1045.2132057683134,0.9752688559959105,213,39:16
71.5%,7150000,14300.000001995793,-1648635.7736737467,254427.69131233642,-1394208.0823614104,300.06489137299894,1045.2132057683134,0.9752688559959105,213,38:35
72.0%,7200000,14400.000002016166,-1647030.6177574936,253922.68239007329,-1393107.9353674203,299.4692979978453,1045.2132057683134,0.9752688559959105,213,37:55
72.5%,7250000,14500.000002036539,-1646462.0140457982,255659.72222895152,-1390802.2918168467,301.51791412085885,1045.2132057683134,0.9752688559959105,213,37:14
73.0%,7300000,14600.000002056911,-1646468.5618174085,254039.95876454216,-1392428.6030528664,299.6076104684105,1045.2132057683134,0.9752688559959105,213,36:33
73.5%,7350000,14700.000002077284,-1648278.2032075971,255216.4079026103,-1393061.7953049869,300.99508162376884,1045.2132057683134,0.9752688559959105,213,35:53
74.0%,7400000,14800.000002097657,-1647419.4670404512,255019.95610508329,-1392399.510935368,300.7633918773386,1045.2132057683134,0.9752688559959105,213,35:12
74.5%,7450000,14900.00000211803,-1649426.254617747,254026.5553012934,-1395399.6993164534,299.59180279935134,1045.2132057683134,0.9752688559959105,213,34:32
75.0%,7500000,15000.000002138402,-1648333.4868376246,256766.94771430345,-1391566.5391233212,302.8237448394958,1045.2132057683134,0.9752688559959105,213,33:51
75.5%,7550000,15100.000002158775,-1647864.7679789858,254377.96636144898,-1393486.8016175367,300.0062471589608,1045.2132057683134,0.9752688559959105,213,33:10
76.0%,7600000,15200.000002179147,-1646287.8423537249,254906.5064997766,-1391381.3358539483,300.62959259111676,1045.2132057683134,0.9752688559959105,213,32:30
76.5%,7650000,15300.00000219952,-1645496.2691288292,254223.61757813927,-1391272.65155069,299.82421252798764,1045.2132057683134,0.9752688559959105,213,31:49
77.0%,7700000,15400.000002219893,-1647496.119970791,254672.2589365796,-1392823.8610342115,300.35332757749916,1045.2132057683134,0.9752688559959105,213,31:09
77.5%,7750000,15500.000002240266,-1646190.617111329,255605.17805947512,-1390585.439051854,301.4535862554266,1045.2132057683134,0.9752688559959105,213,30:28
78.0%,7800000,15600.000002260638,-1646570.8914132193,255656.09670329152,-1390914.7947099279,301.51363827746405,1045.2132057683134,0.9752688559959105,213,29:47
78.5%,7850000,15700.00000228101,-1647865.7982670795,254894.92630306797,-1392970.8719640116,300.6159352315364,1045.2132057683134,0.9752688559959105,213,29:07
79.0%,7900000,15800.000002301384,-1646046.607096509,255127.65531172816,-1390918.951784781,300.89040930447544,1045.2132057683134,0.9752688559959105,213,28:26
79.5%,7950000,15900.000002321756,-1647799.689123747,254350.80864582554,-1393448.8804779213,299.9742181099746,1045.2132057683134,0.9752688559959105,213,27:45
80.0%,8000000,16000.000002342129,-1649360.3600865128,254709.83589114435,-1394650.5241953684,300.39764478499904,1045.2132057683134,0.9752688559959105,213,27:05
