Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000178665	ZNF713	Q8N859	1.5	2.3	1.6	0.7	Zinc finger protein 713	Disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000133101	CCNA1	P78396	1.5	7.8	1.2	0.3	Cyclin A1	Cancer-related genes, Predicted intracellular proteins
ENSG00000136630	HLX	Q14774	1.5	1.1	7.6	17.5	H2.0 like homeobox	Predicted intracellular proteins, Transcription factors
ENSG00000165195	PIGA	P37287	1.5	2.5	1.1	1.8	Phosphatidylinositol glycan anchor biosynthesis class A	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000168333	PPDPFL	Q8WWR9	1.5	0.1	741.2	1.3	Pancreatic progenitor cell differentiation and proliferation factor like	Predicted intracellular proteins
ENSG00000125378	BMP4	P12644	1.5	3.1	10.7	15.5	Bone morphogenetic protein 4	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000196371	FUT4	P22083	1.5	0.8	0.8	1.7	Fucosyltransferase 4	Enzymes, Metabolic proteins, Predicted membrane proteins
ENSG00000203943	SAMD13	Q5VXD3	1.5	1.6	5.4	2.2	Sterile alpha motif domain containing 13	Predicted intracellular proteins
ENSG00000174640	SLCO2A1	Q92959	1.5	2.4	2.1	26.2	Solute carrier organic anion transporter family member 2A1	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000169884	WNT10B	O00744	1.5	26.2	0.6	1.5	Wnt family member 10B	Disease related genes, Human disease related genes, Predicted secreted proteins
ENSG00000170448	NFXL1	Q6ZNB6	1.5	2.9	2.5	1.7	Nuclear transcription factor, X-box binding like 1	Predicted membrane proteins, Transcription factors
ENSG00000171303	KCNK3	O14649	1.5	5.4	0.6	10.9	Potassium two pore domain channel subfamily K member 3	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels
ENSG00000129465	RIPK3	Q9Y572	1.5	0.6	1.6	4.3	Receptor interacting serine/threonine kinase 3	Enzymes, Predicted intracellular proteins, Transporters
ENSG00000061337	LZTS1	Q9Y250	1.5	23.2	1.8	4.9	Leucine zipper tumor suppressor 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000136861	CDK5RAP2	Q96SN8	1.5	2.8	23.9	11.9	CDK5 regulatory subunit associated protein 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
