,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SORD,439.8560384434955,0.5552193163510691,0.24195006614874806,2.29476819406913,0.021746412313832356,0.12409064485217527
DUOX2,22.459144361738026,1.2698813862529543,0.5436696014467303,2.3357594076875743,0.01950378431914193,0.11636032622141525
DUOXA1,15.214074443119305,1.3422830938459596,0.4918758954344121,2.7289060234604294,0.006354480998659328,0.059355223729100993
DUOX1,626.343146466497,0.1602102276028986,0.24804970810377527,0.6458795248244044,0.5183573807224184,0.7313250379083082
SHF,887.3027755359722,-0.02405689709793668,0.21081913025296475,-0.11411154703593777,0.9091493688070346,0.9585896934476928
LOC101928414,36.06153251930295,-0.6134445741592289,0.3229567990428763,-1.899463259411941,0.05750359289909891,0.21374102052235672
SLC28A2,103.39979336745155,-0.7477406779342685,0.3966029632714968,-1.8853633159124894,0.059380803202577215,0.21803765412037604
GATM,1120.514111856331,-0.5388766104928656,0.29185118007492405,-1.8464088798768097,0.06483285884190369,0.2305360153526629
SPATA5L1,462.60442024170067,0.07405914347305098,0.13770734294870576,0.5378009762386968,0.5907144579382411,0.7800527348120367
SLC30A4,565.793391123055,-0.11749011302111405,0.12279206137287953,-0.9568217334859688,0.3386572405602225,0.5866238367909952
HMGN2P46,14.35772739306713,0.28262011171373386,0.4097983174607761,0.6896565936749725,0.4904101685714026,0.7113835673976597
BLOC1S6,2080.540792192361,0.26933674164090055,0.1355079021669763,1.9876091160279121,0.046854937322680965,0.189962798068296
SQRDL,96.54440484948763,0.1758827314360054,0.5389523230335864,0.32634191174094773,0.7441656814000159,0.875113872966576
SEMA6D,4308.7350038777695,-0.6877243288200001,0.22215034420394728,-3.0957608068733315,0.0019630864886489244,0.029510360758267865
SLC24A5,297.65180395920277,-0.3272453608106629,0.25027769729011684,-1.3075290541423144,0.1910330940618391,0.42702683660478347
MYEF2,6504.29297444855,0.04137916224972381,0.17456743802747005,0.23703826278995033,0.8126271065747653,0.9126293019720554
CTXN2,24.829219364616378,-0.49593251440996233,0.30155593361224914,-1.644578862930448,0.10005668873498327,0.29535924185164353
SLC12A1,71.35186007259136,-0.9573298566057603,0.43470695461700687,-2.2022418699263824,0.02764822791812822,0.14198662204595083
DUT,1300.3699045707413,0.02961726933146899,0.11627776802018969,0.2547113677511117,0.7989460355839559,0.9049888144287351
FBN1,4121.942885699229,0.42332039870844074,0.5332994546227399,0.7937761702904812,0.4273257477094685,0.6649351607242573
CEP152,650.0473227859264,0.8248016969705356,0.31595768675130603,2.6104815029227204,0.009041486138760354,0.07333739489913359
SHC4,353.55764581996493,-0.5780976953221846,0.2841079154432433,-2.034782080676214,0.0418728048936446,0.17786495158488064
EID1,5487.415679742683,-0.2455633129888457,0.1532726286956198,-1.602134151926784,0.10912594733307028,0.311573868339714
SECISBP2L,5570.087445553855,-0.04269111135456499,0.09542779618338715,-0.4473655796527449,0.6546111239064061,0.8215868578798079
COPS2,3165.9009953785658,0.29926607336145944,0.1904448175969104,1.5714057076358818,0.11608844106018597,0.3220018737191997
GALK2,734.7211261143071,-0.041164970730562536,0.09308170386502632,-0.4422455651462295,0.658311516960793,0.824306059066757
NDUFAF4P1,32.49806688789708,-0.34947172947937677,0.27789009026799383,-1.2575897511939,0.208540161763903,0.44884041713719336
FAM227B,140.45993546489854,-0.17045905231945177,0.16986426543157376,-1.0035015421658393,0.3156189332213146,0.5652933186814895
FGF7,75.97316918136802,1.3743470005734484,0.6468779748505893,2.1245846264759347,0.033621287782214904,0.15822696539102693
DTWD1,464.7866544917363,0.20557074738637815,0.12568509177953788,1.6356016809612262,0.10192297834296236,0.29886387723572183
ATP8B4,17.59208354922517,-0.31642946296751767,0.36045286682814404,-0.8778664066455719,0.38001622156368475,0.6246160710057596
SLC27A2,41.583739709123115,-0.1879454122756222,0.44285181501859455,-0.42439797219241543,0.6712755993458202,0.8318596083441157
GABPB1,660.2787389070305,0.26693803623306495,0.1491790826127052,1.7893797947939014,0.07355367107998939,0.24714186772916893
FLJ10038,530.0556792981622,0.06444918967531238,0.16088054707202212,0.4006027506014143,0.6887126202230638,0.8428752375748518
GABPB1-AS1,1169.7820323819114,-0.05130198708025206,0.29434624398057313,-0.17429129173341174,0.8616365426932987,0.9361434762354658
MIR4712,56.10811882468171,-0.04470366579984811,0.434608407480293,-0.10285964337189027,0.918074367676208,0.9625639935440312
USP8,3127.6955889397227,0.009259915994915975,0.08944888480647169,0.10352187190427681,0.9175487914814988,0.9623954342567559
TRPM7,3411.05968444211,0.09910646308786086,0.12276835271191205,0.8072639316129285,0.41951443949853917,0.6585804820657447
SPPL2A,666.6135622407492,-0.1445693966911075,0.20234849175031028,-0.7144574957815855,0.47494432995433866,0.6998284807027106
AP4E1,716.3069740716971,0.017270387348646696,0.12840608189605454,0.1344982036180122,0.8930086314891736,0.9510830330911078
DCAF13P3,69.4246390807289,-0.54693824525755,0.3649410035495798,-1.4987031874680656,0.13395064945673485,0.35072989782642433
TNFAIP8L3,26.923125555518254,0.5477639982417618,0.44101143487964434,1.2420630281191034,0.21421330825078355,0.4555218929300451
CYP19A1,67.46310495705387,-0.8524201322673736,0.5829623475655573,-1.4622215925729478,0.14368049643187744,0.3643202870875206
GLDN,30.064213105190515,0.9515789164485682,0.42506113530018047,2.2386871850247094,0.025176276932140442,0.13545201051338185
